Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
OOP-Cars;OOP;25;68.40;38.41;78.87;40.03;14.6208
OOP-Cars;OOP;50;67.82;40.54;76.38;41.26;14.7449
OOP-Cars;OOP;75;59.62;35.47;73.54;37.76;16.7728
OOP-Cars;OOP;100;48.87;34.50;70.88;35.43;20.4642
OOP-Cars;OOP;125;36.00;34.12;37.87;34.81;27.7787
OOP-Cars;OOP;150;36.00;34.39;37.44;34.72;27.7766
OOP-Cars;OOP;175;36.00;32.72;39.74;34.66;27.7779
OOP-Cars;OOP;200;36.00;34.83;37.23;34.95;27.7797
