Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
OOP-People;OOP;25;71.39;42.29;84.16;64.16;14.0080
OOP-People;OOP;50;70.23;42.05;81.51;47.53;14.2381
OOP-People;OOP;75;69.97;45.79;82.10;47.63;14.2922
OOP-People;OOP;100;67.34;37.35;83.80;45.59;14.8498
OOP-People;OOP;125;65.15;38.71;85.18;43.88;15.3482
OOP-People;OOP;150;64.97;42.44;85.97;43.03;15.3907
OOP-People;OOP;175;65.84;39.33;80.39;42.18;15.1885
OOP-People;OOP;200;66.02;38.33;79.68;40.34;15.1470
