Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
DOTS-Cars;DOTS;25;36.00;34.29;38.13;34.64;27.7791
DOTS-Cars;DOTS;50;36.00;34.18;38.54;34.90;27.7774
DOTS-Cars;DOTS;75;36.00;34.24;37.69;34.85;27.7811
DOTS-Cars;DOTS;100;36.00;34.21;37.80;34.45;27.7778
DOTS-Cars;DOTS;125;36.00;33.94;38.41;34.27;27.7801
DOTS-Cars;DOTS;150;36.00;34.23;38.18;34.83;27.7801
DOTS-Cars;DOTS;175;36.00;33.98;37.69;34.92;27.7785
DOTS-Cars;DOTS;200;36.00;33.55;39.66;34.59;27.7773
