Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
DOTS-People;DOTS;25;597.50;60.18;957.10;452.05;1.6736
DOTS-People;DOTS;50;588.06;151.48;1021.15;466.99;1.7005
DOTS-People;DOTS;75;569.73;231.72;877.29;471.83;1.7552
DOTS-People;DOTS;100;563.26;382.21;794.44;463.18;1.7754
DOTS-People;DOTS;125;550.59;385.79;804.05;442.91;1.8162
DOTS-People;DOTS;150;542.89;238.55;849.56;455.58;1.8420
DOTS-People;DOTS;175;538.30;413.91;816.24;449.73;1.8577
DOTS-People;DOTS;200;534.72;246.40;773.42;453.57;1.8701
