Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
DOTS-People;DOTS;25;743.78;528.31;896.06;598.70;1.3445
DOTS-People;DOTS;50;733.42;65.70;903.27;589.13;1.3635
DOTS-People;DOTS;75;704.67;173.73;876.94;390.73;1.4191
DOTS-People;DOTS;100;404.69;58.66;834.23;171.09;2.4710
DOTS-People;DOTS;125;606.97;170.94;873.46;202.68;1.6475
DOTS-People;DOTS;150;711.63;67.62;874.92;552.38;1.4052
DOTS-People;DOTS;175;713.46;498.78;897.87;521.04;1.4016
DOTS-People;DOTS;200;695.59;304.79;868.18;520.10;1.4376
