Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
OOP-People;OOP;25;788.03;465.45;940.14;631.81;1.2690
OOP-People;OOP;50;706.05;65.96;867.81;566.85;1.4163
OOP-People;OOP;75;663.97;425.68;796.92;521.94;1.5061
OOP-People;OOP;100;611.25;72.85;739.44;471.40;1.6360
OOP-People;OOP;125;563.15;147.08;689.83;199.54;1.7757
OOP-People;OOP;150;301.39;142.23;648.89;147.53;3.3179
OOP-People;OOP;175;294.79;43.84;603.76;148.88;3.3922
OOP-People;OOP;200;279.52;64.02;579.64;149.78;3.5776
