Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
DOTS-People;DOTS;25;684.80;153.45;878.28;304.94;1.4603
DOTS-People;DOTS;50;522.50;76.24;875.91;171.36;1.9139
DOTS-People;DOTS;75;740.91;459.19;865.83;560.72;1.3497
DOTS-People;DOTS;100;726.88;75.46;869.57;541.08;1.3757
DOTS-People;DOTS;125;735.04;461.40;872.06;549.83;1.3605
DOTS-People;DOTS;150;724.11;75.92;872.28;543.96;1.3810
DOTS-People;DOTS;175;726.36;470.26;889.52;548.23;1.3767
DOTS-People;DOTS;200;716.44;74.42;864.64;537.25;1.3958
