Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
DOTS-People;DOTS;25;865.70;532.10;1193.20;656.47;1.1551
DOTS-People;DOTS;50;822.10;47.60;1170.67;474.76;1.2164
DOTS-People;DOTS;75;831.05;477.18;1155.52;631.36;1.2033
DOTS-People;DOTS;100;817.81;60.75;1053.51;601.34;1.2228
DOTS-People;DOTS;125;825.57;520.04;1082.44;593.43;1.2113
DOTS-People;DOTS;150;817.96;513.74;1065.76;579.45;1.2226
DOTS-People;DOTS;200;799.27;455.22;1109.31;565.57;1.2511
