Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
OOP-Cars;OOP;25;411.34;41.89;708.05;208.30;2.4311
OOP-Cars;OOP;50;414.62;301.59;522.24;353.60;2.4119
OOP-Cars;OOP;75;397.28;121.75;646.43;325.29;2.5171
OOP-Cars;OOP;100;293.26;16.85;654.74;85.08;3.4100
OOP-Cars;OOP;125;199.60;40.95;446.05;85.61;5.0101
OOP-Cars;OOP;150;180.12;83.91;416.05;86.25;5.5519
OOP-Cars;OOP;175;358.62;282.86;439.01;324.40;2.7885
OOP-Cars;OOP;200;342.44;268.26;417.97;300.80;2.9202
