Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
DOTS-Cars;DOTS;25;457.55;199.33;654.92;217.55;2.1856
DOTS-Cars;DOTS;50;366.32;52.50;580.45;139.62;2.7298
DOTS-Cars;DOTS;75;293.79;71.74;528.26;112.44;3.4038
DOTS-Cars;DOTS;100;252.33;88.84;489.55;92.19;3.9631
DOTS-Cars;DOTS;125;125.79;58.44;498.82;60.47;7.9498
DOTS-Cars;DOTS;150;2.23;1.95;3.64;1.97;449.3165
DOTS-Cars;DOTS;175;2.86;2.41;3.52;2.51;349.7999
DOTS-Cars;DOTS;200;2.39;2.13;2.56;2.32;418.1693
