Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
DOTS-Cars;DOTS;25;435.26;118.55;778.11;135.73;2.2975
DOTS-Cars;DOTS;50;527.60;175.08;891.83;192.04;1.8954
DOTS-Cars;DOTS;75;446.13;66.45;894.18;149.59;2.2415
DOTS-Cars;DOTS;100;313.90;83.79;724.03;91.63;3.1858
DOTS-Cars;DOTS;125;322.09;95.54;703.65;100.42;3.1047
DOTS-Cars;DOTS;150;217.96;72.30;708.59;75.73;4.5880
DOTS-Cars;DOTS;200;78.04;57.28;687.09;57.94;12.8147
