Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
OOP-Cars;OOP;25;576.20;134.32;889.38;234.08;1.7355
OOP-Cars;OOP;50;539.52;52.16;882.16;192.09;1.8535
OOP-Cars;OOP;75;537.26;406.50;701.78;467.42;1.8613
OOP-Cars;OOP;100;508.89;380.89;630.77;441.82;1.9651
OOP-Cars;OOP;125;476.83;371.46;659.85;411.16;2.0972
OOP-Cars;OOP;150;466.32;260.86;603.12;405.47;2.1444
OOP-Cars;OOP;175;467.52;362.02;591.22;408.01;2.1389
OOP-Cars;OOP;200;433.25;66.79;540.65;367.99;2.3081
