Scene;Type;AgentCount;AvgFPS;MinFPS;MaxFPS;1PercentLowFPS;AvgFrameTime_ms
OOP-Cars;OOP;25;546.87;116.53;783.16;410.47;1.8286
OOP-Cars;OOP;50;525.37;179.62;738.76;441.01;1.9034
OOP-Cars;OOP;75;240.10;143.76;612.00;149.41;4.1649
OOP-Cars;OOP;100;488.44;61.85;698.06;405.72;2.0473
OOP-Cars;OOP;125;461.21;372.08;619.29;402.12;2.1682
OOP-Cars;OOP;150;447.84;342.70;621.57;390.36;2.2330
OOP-Cars;OOP;200;402.43;62.44;530.35;210.17;2.4849
